village_lgd,census_code,village_name,status,match_score,candidate_osm_id,candidate_names
527890,527890,Sajagaon,matched,100.0,9868915666,Sajagaon
527891,527891,Sangavi Pr.Lohare,matched,100.0,9868915667,Sangavi Pr. Lohare
527892,527892,Naiknagar,matched,100.0,9868995134,Naiknagar
527893,527893,Jamane,below_threshold,83.33333333333334,1201322497,Damane
527894,527894,Sarve Bk.Pr.Lohare,below_threshold,76.47058823529412,9868520287,Nandre Pr. Lohare
527895,527895,Kurhad Kh.,matched,100.0,9868915703,Kurhad Kh
527896,527896,Kurhad Bk.,matched,100.0,9868915704,Kurhad Bk
527897,527897,Lakh         .,below_threshold,72.72727272727273,1196552246,Lakhani
527898,527898,Rameshwar,below_threshold,85.71428571428572,6166092568,Rameshwar Bk
527899,527899,Mhasas,matched,100.0,9868915705,Mhasas
527900,527900,Lohara,matched,100.0,9868915706,Lohara
527901,527901,Kasampure,below_threshold,88.88888888888889,9868915707,Kasampura
527902,527902,Shahapure,ambiguous_candidates,94.11764705882352,9862670156,Shahapur
527903,527903,Kalamsare,ambiguous_candidates,100.0,9862670159,Kalamsare
527904,527904,Bahuleshwar,below_threshold,66.66666666666667,9872863838,Babhulwadi
527905,527905,Vadgaon Kh.Pr.Pachora,ambiguous_candidates,100.0,9868915744,Vadgaon Kh Pr. Pachora
527906,527906,Duskhede,place_assigned_to_multiple_villages,100.0,9868915745,Duskhede
527907,527907,Pardhade,below_threshold,80.0,1195108614,Padalde
527908,527908,Bhatkhande Kh.,ambiguous_candidates,100.0,9868915791,Bhatkhande Kh
527909,527909,Anturli Kh.Pr.Pachora,ambiguous_candidates,95.23809523809523,9868915572,Anturli Bk Pr. Pachora
527910,527910,Ozar,place_assigned_to_multiple_villages,100.0,9868915793,Ozar
527911,527911,Jargaon,below_threshold,85.71428571428572,9862479328,Pargaon
527912,527912,Bambarud Kh. Pr.Pachora,matched,100.0,9868915570,Bambarud Kh Pr. Pachora
527913,527913,Lohatar,matched,100.0,9868915569,Lohatar
527914,527914,Anturli Kh.Pr.Lohare,matched,100.0,9868915571,Anturli Kh Pr. Lohare
527915,527915,Anturli Bk.Pr.Pachora,matched,100.0,9868915572,Anturli Bk Pr. Pachora
527916,527916,Chinchkhede Kh.,ambiguous_candidates,100.0,9868915580,Chinchkhede Kh
527917,527917,Sarole Bk.,matched,100.0,9868915579,Sarole Bk
527918,527918,Sarole Kh.,matched,100.0,9868915578,Sarole Kh
527919,527919,Sangvi Pr.Bhadgaon,matched,100.0,9868915565,Sangvi Pr. Bhadgaon
527920,527920,Chunchale.,ambiguous_candidates,100.0,1192647539,Chunchale
527921,527921,Pimpalgaon Kh. Pr. Bhadgaon,matched,100.0,9868915548,Pimpalgaon Kh Pr. Bhadgaon
527922,527922,Nagardeole Bk.,matched,100.0,9868915551,Nagardeole Bk
527923,527923,Sangameshwar,matched,100.0,9868915550,Sangameshwar
527924,527924,Hol,ambiguous_candidates,100.0,1192555053,Hol
527925,527925,Ghusardi Bk.,matched,100.0,9868915564,Ghusardi Bk
527926,527926,Bhortek Kh.,matched,100.0,9868915562,Bhortek Kh
527927,527927,Takali Bk.,ambiguous_candidates,100.0,9868520426,Takali Bk
527928,527928,Nagardeola Sim.,below_threshold,74.07407407407408,9868915551,Nagardeole Bk
527929,527929,Nipane,ambiguous_candidates,100.0,9868915547,Nipane
527930,527930,Akhatwade,place_assigned_to_multiple_villages,100.0,9868915552,Akhatwade
527931,527931,Khajole,matched,100.0,9868915560,Khajole
527932,527932,Pimpri Bk. Pr.Bhadgaon.,ambiguous_candidates,100.0,9868915561,Pimpri Bk Pr. Bhadgaon
527933,527933,Sarve Bk.Pr.Bhadgaon,ambiguous_candidates,100.0,9868915559,Sarve Bk Pr. Bhadgaon
527934,527934,Sarve Kh.Pr.Bhadgaon,ambiguous_candidates,100.0,9868915558,Sarve Kh Pr. Bhadgaon
527935,527935,Bhadali,matched,100.0,9868915556,Bhadali
527936,527936,Neri,below_threshold,72.72727272727273,9868520447,Neri Bk
527937,527937,Vadgaon Mulane,matched,100.0,9868915555,Vadgaon Mulane
527938,527938,Badarkhe,matched,100.0,9868915553,Badarkhe
527939,527939,Mohalai,ambiguous_candidates,100.0,9953367105,Mohalai
527940,527940,Dighi,matched,100.0,9868915554,Dighi
527941,527941,Vadgaon Kh.Pr.Bhadgaon,matched,100.0,9868915566,Vadgaon Kh Pr. Bhadgaon
527942,527942,Balad Bk.,matched,100.0,9868915567,Balad Bk
527943,527943,Nachankhede,matched,100.0,9868915568,Nachankhede
527944,527944,Hanumanwadi,matched,100.0,9868915544,Hanumanwadi
527945,527945,Vishnunagar,below_threshold,72.72727272727273,9868565967,Vasantnagar
527946,527946,Galan Kh.,matched,100.0,9868915546,Galan Kh
527947,527947,Galan Bk.,matched,100.0,9868915545,Galan Bk
527948,527948,Chinchakhede Bk.,ambiguous_candidates,96.55172413793103,9854792697,Chinchkhede Bk
527949,527949,Tarkhede Bk.,matched,100.0,9868915573,Tarkhede Bk
527950,527950,Tarkhede Kh.,matched,100.0,9868915574,Tarkhede Kh
527951,527951,Khadakdeole Bk.,ambiguous_candidates,100.0,9868915576,Khadakdeole Bk
527952,527952,Waghulkhede,matched,100.0,9868915577,Waghulkhede
527953,527953,Khadakdeole Kh.,ambiguous_candidates,100.0,9868915575,Khadakdeole Kh
527954,527954,Dongargaon,ambiguous_candidates,100.0,9868934973,Dongargaon
527955,527955,Mondhale,ambiguous_candidates,100.0,9864537368,Mondhale
527956,527956,Nimbhori Kh.,matched,90.9090909090909,9868915532,Nimbhori Kj
527957,527957,Lohari Kh.,matched,100.0,9868915527,Lohari Kh
527958,527958,Lasure,matched,100.0,9868915522,Lasure
527959,527959,Vanegaon,matched,100.0,9868915533,Vanegaon
527960,527960,Nimbhori Bk.,ambiguous_candidates,90.9090909090909,9861008409,Nimbhore Bk
527961,527961,Rajuri Bk.,below_threshold,82.35294117647058,9868915534,Rajun Bk
527962,527962,Wadi,ambiguous_candidates,100.0,9843258329,Wadi
527963,527963,Rajuri Kh.,below_threshold,73.6842105263158,9870343577,Anturli Kh
527964,527964,Bhoje,matched,100.0,9868915536,Bhoje
527965,527965,Lohari Bk.,matched,100.0,9868915526,Lohari Bk
527966,527966,Varkhedi Bk.,matched,100.0,9868915525,Varkhedi Bk
527967,527967,Bhokari,ambiguous_candidates,100.0,9854792718,Bhokari
527968,527968,Varkhedi Kh.,matched,100.0,9868915523,Varkhedi Kh
527969,527969,Sawkhede Bk.,matched,100.0,9868915521,Sawkhede Bk
527970,527970,Sawkhede Kh.,matched,100.0,9868915520,Sawkhede Kh
527971,527971,Chinchpure,ambiguous_candidates,100.0,9868915537,Chinchpure
527972,527972,Dambhurni,ambiguous_candidates,100.0,3186337067,Dambhurni
527973,527973,Vadgaon Ambe Bk.,ambiguous_candidates,100.0,9868905215,Vadgaon Ambe Bk
527974,527974,Vadgaon Ambe Kh.,ambiguous_candidates,100.0,9868905216,Vadgaon Ambe Kh
527975,527975,Vadgaon Ambe,place_assigned_to_multiple_villages,100.0,9868905214,Vadgaon Ambe
527976,527976,Kokadi,below_threshold,76.92307692307692,9860913791,Kolhadi
527977,527977,Vadgaon Joge,below_threshold,78.26086956521739,9868915584,Vadgaon Tek
527978,527978,Kolhe,matched,100.0,9868934992,Kolhe
527979,527979,Atalgavhan,below_threshold,88.88888888888889,9868934974,Atalgvan
527980,527980,Pimpri Bk.Pr.Pachora,place_assigned_to_multiple_villages,95.0,9868905211,Pimpri Kh Pr. Pachora
527981,527981,Pimpalgaon Bk.,ambiguous_candidates,100.0,9864478764,Pimpalgaon Bk
527982,527982,Jawakhedi Digar,below_threshold,73.33333333333334,9868482073,Moyakhede Digar
527983,527983,Shindad,matched,100.0,9868915541,Shindad
527984,527984,Shewale,matched,100.0,9868915543,Shewale
527985,527985,Pimpri Kh.Pr.Pachora,place_assigned_to_multiple_villages,100.0,9868905211,Pimpri Kh Pr. Pachora
527986,527986,Sarve Bk.Pr.Pachora,matched,100.0,9868905210,Sarve Bk Pr. Pachora
527987,527987,Satgaon,matched,100.0,9868905209,Satgaon
527988,527988,Gahule,below_threshold,71.42857142857143,3205092840,Gaulkhed
527989,527989,Vadgaonkade,matched,95.23809523809523,9868915540,Vadgonkade
527990,527990,Varasade Pr.Pachora,matched,100.0,9868915539,Varasade Pr Pachora
527992,527992,Karmad,matched,100.0,9868520445,Karmad
527993,527993,Palas Khede Mirache,matched,100.0,9864158709,Palas Khede Mirache
527994,527994,Neri Digar,matched,100.0,9868520448,Neri Digar
527995,527995,Deopimpri,matched,100.0,9868520279,Deopimpri
527996,527996,Malpimpri,matched,100.0,9868520432,Malpimpri
527997,527997,Neri Bk.,ambiguous_candidates,100.0,9868520447,Neri Bk
527998,527998,Gadegaon Pr.Nashirabad,matched,100.0,9868520446,Gadegaon Pr. Nashirabad
527999,527999,Hingane Bk,matched,100.0,9868565979,Hingane Bk
528000,528000,Khadgaon,ambiguous_candidates,100.0,3184341040,Khadgaon
528001,528001,Shingait,ambiguous_candidates,93.33333333333333,9868596791,Singait
528002,528002,Gangapuri,place_assigned_to_multiple_villages,100.0,9868520438,Gangapuri
528003,528003,Mundkhede,matched,100.0,9868520437,Mundkhede
528004,528004,Garkhede Kh,matched,100.0,9868520439,Garkhede Kh
528005,528005,Garkhede Bk,matched,100.0,9868520440,Garkhede Bk
528006,528006,Dohari,below_threshold,83.33333333333334,9872868223,Dhadri
528007,528007,Rampur,place_assigned_to_multiple_villages,100.0,9868520444,Rampur
528008,528008,Rampur,place_assigned_to_multiple_villages,100.0,9868520444,Rampur
528009,528009,Hivar Khede Bk.,matched,100.0,9868520434,Hivar Khede Bk
528010,528010,Palas Khede Bk.,ambiguous_candidates,100.0,9868520430,Palas Khede Bk
528011,528011,Waki Bk.,matched,100.0,9868520429,Waki Bk
528012,528012,Ambilhol Deviche,matched,100.0,9868520442,Ambilhol Deviche
528013,528013,Ambilhol,below_threshold,80.0,9868520269,Jambhol
528014,528014,Mahukhede,matched,100.0,9868565977,Mahukhede
528015,528015,Holhaveli,matched,100.0,9868520435,Holhaveli
528016,528016,Khadki,ambiguous_candidates,100.0,3205097371,Khadki
528017,528017,Borgaon,ambiguous_candidates,100.0,9860946376,Borgaon
528018,528018,Nayadabhadi,matched,100.0,9868565976,Nayadabhadi
528019,528019,Wadi,ambiguous_candidates,100.0,9843258329,Wadi
528020,528020,Maldabhadi,matched,100.0,9868520418,Maldabhadi
528021,528021,Sonari,matched,100.0,9868520420,Sonari
528022,528022,Waghari,ambiguous_candidates,100.0,9863575011,Waghari
528023,528023,Pat Khede,matched,94.11764705882352,9868596788,Patkhede
528024,528024,Betawad Kh,matched,100.0,2854416985,Betawad Kh
528025,528025,Sargaon,ambiguous_candidates,92.3076923076923,2347566844,Sargao
528026,528026,Kalkhede,ambiguous_candidates,100.0,9868596774,Kalkhede
528027,528027,Tighre Wadgaon,matched,100.0,9868520415,Tighre Wadgaon
528028,528028,Wadgaon Tighre,matched,100.0,9868520414,Wadgaon Tighre
528029,528029,Moyakhede Digar,matched,100.0,9868482073,Moyakhede Digar
528030,528030,Devlasgaon,matched,100.0,2854415350,Devlasgaon
528031,528031,Betawad Bk,matched,100.0,2847563905,Betawad Bk
528032,528032,Ranjani,matched,100.0,2845383884,Ranjani
528033,528033,Gornale,matched,100.0,9868565980,Gornale
528034,528034,Mohadi,ambiguous_candidates,100.0,9863574960,Mohadi
528035,528035,Kumbhari Sim,below_threshold,78.26086956521739,9868520372,Kumbhari Bk
528036,528036,Sunasgaon Bk.,matched,100.0,9868520281,Sunasgaon Bk
528037,528037,Sunasgaon Kh.,ambiguous_candidates,91.66666666666666,9868520281,Sunasgaon Bk
528038,528038,Paladhi,matched,100.0,9868520278,Paladhi
528039,528039,Gondkhel,matched,100.0,9868520431,Gondkhel
528040,528040,Chinch Khede Bk.,ambiguous_candidates,96.55172413793103,9854792697,Chinchkhede Bk
528041,528041,Kekat Nimbhora,matched,100.0,9868520433,Kekat Nimbhora
528042,528042,Waki Kh.,matched,100.0,9868520428,Waki Kh
528043,528043,Takali Bk.,ambiguous_candidates,100.0,9868520426,Takali Bk
528044,528044,Takali Kh.,ambiguous_candidates,100.0,9868520427,Takali Kh
528045,528045,Kodoli      .,below_threshold,76.92307692307692,9870343600,Kadholi
528046,528046,Pimpar Khede,ambiguous_candidates,100.0,9868520425,Pimpar Khede
528047,528047,Rotwad,ambiguous_candidates,100.0,9863980029,Rotwad
528048,528048,Morgaon,below_threshold,85.71428571428572,9860946376,Borgaon
528049,528049,Savat Khede,matched,100.0,9868520283,Savat Khede
528050,528050,Bharadi,ambiguous_candidates,100.0,9868520289,Bharadi
528051,528051,Bhilkhede,ambiguous_candidates,94.11764705882352,9863940491,Bilkhede
528052,528052,Sarve Pr.Lohare,below_threshold,83.87096774193549,9868520287,Nandre Pr. Lohare
528053,528053,Nandre Pr.Lohare,matched,100.0,9868520287,Nandre Pr. Lohare
528054,528054,Nachane Khede,matched,100.0,9868520323,Nachane Khede
528055,528055,Lakholi,matched,100.0,9868520324,Lakholi
528056,528056,Jogal Khede,place_assigned_to_multiple_villages,100.0,9863575009,Jogal Khede
528057,528057,Ekulti Bk.,matched,100.0,9868520327,Ekulti Bk
528058,528058,Ekulti Kh,below_threshold,88.88888888888889,9868520327,Ekulti Bk
528059,528059,Kharchane,matched,100.0,9868520277,Kharchane
528060,528060,Dondvade,matched,100.0,9868520328,Dondvade
528061,528061,Chilgaon,matched,100.0,9868520329,Chilgaon
528062,528062,Sangavi,ambiguous_candidates,100.0,9870864379,Sangavi
528063,528063,Pahur Kasba,below_threshold,63.1578947368421,3206321001,Anurabad
528064,528064,Pahur Peth,below_threshold,66.66666666666667,245690520,Pahur
528065,528065,Sonale,ambiguous_candidates,100.0,9868520276,Sonale
528066,528066,Pimpalgaon Golait,matched,100.0,9868520275,Pimpalgaon Golait
528067,528067,Moyagaon Bk.,matched,100.0,9868520274,Moyagaon Bk
528068,528068,Sheri,ambiguous_candidates,100.0,9863969513,Sheri
528069,528069,Londhri Kh.,ambiguous_candidates,90.0,9868520273,Londhri Bk
528070,528070,Londhri Bk.,matched,100.0,9868520273,Londhri Bk
528071,528071,Ambadi,below_threshold,85.71428571428572,1205391579,Hambardi
528072,528072,Malkhede,below_threshold,87.5,9862667892,Nalkhede
528073,528073,Jangipura,matched,100.0,9868565974,Jangipura
528074,528074,Gondegaon,ambiguous_candidates,100.0,9868520346,Gondegaon
528075,528075,Ganeshnagar,place_assigned_to_multiple_villages,100.0,9870305466,Ganeshnagar
528076,528076,Shendurni,matched,100.0,9868520363,Shendurni
528077,528077,Morad      .,ambiguous_candidates,90.9090909090909,9872868199,Mordad
528078,528078,Navapur,ambiguous_candidates,100.0,9833606718,Navapur
528079,528079,Bhilwadi,ambiguous_candidates,100.0,9964461488,Bhilwadi
528080,528080,Mengaon,matched,100.0,9868565972,Mengaon
528081,528081,Chinch Khede Digar,below_threshold,80.0,9868520365,Hivar Khede Digar
528082,528082,Tarangwadi,below_threshold,73.6842105263158,4435579152,Haraswadi
528083,528083,Lihe,matched,100.0,9868520364,Lihe
528084,528084,Hivari Digar,matched,100.0,9868520366,Hivari Digar
528085,528085,Hivar Khede Digar,matched,100.0,9868520365,Hivar Khede Digar
528086,528086,Pimpalgaon Bk.,ambiguous_candidates,100.0,9864478764,Pimpalgaon Bk
